iter	Passed	Remaining
468	725	821
469	726	819
470	727	817
471	728	814
472	730	813
473	731	811
474	732	810
475	734	808
476	735	806
477	736	804
478	738	802
479	739	801
480	740	799
481	742	797
482	743	795
483	745	794
484	747	793
485	748	791
486	749	789
487	749	786
488	750	784
489	752	783
490	753	781
491	754	778
492	754	776
493	755	773
494	756	771
495	759	771
496	761	770
497	761	767
498	764	767
499	765	765
500	769	766
501	770	764
502	771	762
503	773	760
504	779	763
505	781	762
506	783	761
507	783	759
508	784	756
509	785	754
510	786	752
511	786	749
512	787	747
513	794	751
514	795	749
515	796	747
516	797	744
517	800	744
518	801	743
519	803	742
520	805	740
521	807	739
522	808	737
523	811	736
524	811	734
525	812	732
526	816	732
527	817	730
528	817	728
529	821	728
530	822	726
531	825	725
532	826	724
533	827	721
534	830	721
535	832	720
536	833	718
537	834	716
538	835	714
539	836	712
540	836	709
541	842	711
542	844	711
543	845	708
544	848	708
545	849	706
546	851	705
547	852	703
548	853	700
549	857	701
550	858	699
551	860	698
552	861	696
553	863	695
554	864	693
555	869	694
556	870	692
557	872	691
558	874	689
559	876	688
560	877	686
561	878	684
562	879	682
563	879	680
564	880	678
565	884	677
566	884	675
567	885	673
568	886	671
569	888	670
570	889	667
571	889	665
572	890	663
573	891	661
574	892	659
575	893	657
576	894	655
577	895	653
578	896	651
579	897	649
580	898	647
581	898	645
582	899	643
583	900	641
584	901	639
585	902	637
586	903	635
587	904	633
588	905	631
589	905	629
590	906	627
591	907	625
592	907	623
593	908	621
594	909	619
595	910	617
596	912	616
597	913	614
598	914	612
599	916	611
600	919	610
601	920	608
602	921	606
603	922	605
604	927	605
605	928	603
606	929	601
607	930	599
608	930	597
609	931	595
610	932	593
611	933	591
612	935	590
613	935	588
614	936	586
615	937	584
616	938	582
617	940	581
618	942	579
619	942	577
620	943	575
621	944	573
622	945	571
623	945	569
624	947	568
625	948	566
626	949	565
627	950	563
628	951	561
629	952	559
630	952	557
631	953	555
632	954	553
633	954	551
634	955	549
635	956	547
636	957	545
637	957	543
638	958	541
639	959	539
640	960	537
641	960	535
642	961	533
643	962	531
644	962	529
645	963	528
646	964	526
647	965	524
648	965	522
649	966	520
650	967	518
651	967	516
652	968	514
653	969	512
654	969	510
655	970	508
656	971	507
657	972	505
658	972	503
659	973	501
660	974	499
661	976	498
662	976	496
663	978	495
664	981	494
665	981	492
666	982	490
667	984	489
668	990	489
669	990	488
670	991	486
671	992	484
672	993	482
673	995	481
674	996	479
675	996	477
676	997	476
677	998	474
678	1000	472
679	1001	471
680	1002	469
681	1006	469
682	1008	467
683	1008	466
684	1009	464
685	1010	462
686	1011	460
687	1013	459
688	1015	458
689	1016	456
690	1018	455
691	1019	453
692	1020	451
693	1020	450
694	1021	448
695	1022	446
696	1024	445
697	1026	444
698	1027	442
699	1028	440
700	1028	438
701	1029	437
702	1030	435
703	1031	433
704	1032	432
705	1033	430
706	1034	428
707	1035	427
708	1037	425
709	1038	424
710	1038	422
711	1039	420
712	1041	419
713	1042	417
714	1043	415
715	1044	414
716	1045	412
717	1046	411
718	1048	409
719	1049	408
720	1050	406
721	1051	404
722	1052	403
723	1054	401
724	1055	400
725	1057	398
726	1058	397
727	1059	395
728	1060	394
729	1061	392
730	1063	391
731	1064	389
732	1065	387
733	1066	386
734	1067	384
735	1068	383
736	1069	381
737	1070	379
738	1070	378
739	1071	376
740	1072	374
741	1072	373
742	1073	371
743	1073	369
744	1074	367
745	1075	366
746	1075	364
747	1078	363
748	1079	361
749	1079	359
750	1080	358
751	1081	356
752	1081	354
753	1082	353
754	1082	351
755	1083	349
756	1084	348
757	1085	346
758	1085	344
759	1086	343
760	1086	341
761	1087	339
762	1088	338
763	1088	336
764	1089	334
765	1090	333
766	1090	331
767	1091	329
768	1092	328
769	1093	326
770	1093	324
771	1094	323
772	1095	321
773	1095	319
774	1096	318
775	1097	316
776	1097	315
777	1098	313
778	1099	311
779	1099	310
780	1100	308
781	1100	306
782	1101	305
783	1102	303
784	1102	302
785	1103	300
786	1103	298
787	1104	297
788	1105	295
789	1105	293
790	1106	292
791	1106	290
792	1107	289
793	1108	287
794	1109	285
795	1109	284
796	1110	282
797	1111	281
798	1111	279
799	1112	278
800	1113	276
801	1113	274
802	1114	273
803	1114	271
804	1115	270
805	1116	268
806	1116	267
807	1117	265
808	1118	263
809	1118	262
810	1119	260
811	1119	259
812	1120	257
813	1121	256
814	1121	254
815	1122	253
816	1123	251
817	1123	250
818	1124	248
819	1125	246
820	1125	245
821	1126	243
822	1126	242
823	1127	240
824	1128	239
825	1128	237
826	1129	236
827	1130	234
828	1131	233
829	1132	231
830	1132	230
831	1133	228
832	1133	227
833	1134	225
834	1135	224
835	1135	222
836	1136	221
837	1137	219
838	1138	218
839	1138	216
840	1139	215
841	1140	214
842	1141	212
843	1141	211
844	1142	209
845	1143	208
846	1143	206
847	1144	205
848	1144	203
849	1145	202
850	1146	200
851	1146	199
852	1147	197
853	1148	196
854	1148	194
855	1149	193
856	1149	191
857	1150	190
858	1151	189
859	1152	187
860	1153	186
861	1153	184
862	1154	183
863	1154	181
864	1155	180
865	1156	178
866	1156	177
867	1157	175
868	1157	174
869	1158	173
870	1158	171
871	1159	170
872	1160	168
873	1160	167
874	1161	165
875	1161	164
876	1162	162
877	1162	161
878	1163	160
879	1163	158
880	1164	157
881	1165	155
882	1165	154
883	1166	153
884	1167	151
885	1167	150
886	1168	148
887	1169	147
888	1169	146
889	1170	144
890	1171	143
891	1171	141
892	1172	140
893	1173	139
894	1173	137
895	1174	136
896	1174	134
897	1175	133
898	1176	132
899	1176	130
900	1177	129
901	1177	127
902	1178	126
903	1179	125
904	1179	123
905	1180	122
906	1181	121
907	1181	119
908	1182	118
909	1183	117
910	1183	115
911	1184	114
912	1184	112
913	1185	111
914	1186	110
915	1186	108
916	1187	107
917	1188	106
918	1188	104
919	1189	103
920	1190	102
921	1191	100
922	1191	99
923	1193	98
924	1194	96
925	1195	95
926	1195	94
927	1196	92
928	1197	91
929	1197	90
930	1198	88
931	1199	87
932	1199	86
933	1200	84
934	1201	83
935	1201	82
936	1202	80
937	1202	79
938	1203	78
939	1204	76
940	1204	75
941	1205	74
942	1206	72
943	1207	71
944	1207	70
945	1208	68
946	1208	67
947	1209	66
948	1211	65
949	1212	63
950	1214	62
951	1216	61
952	1217	60
953	1218	58
954	1219	57
955	1219	56
956	1220	54
957	1221	53
958	1221	52
959	1222	50
960	1223	49
961	1223	48
962	1224	47
963	1225	45
964	1225	44
965	1226	43
966	1226	41
967	1227	40
968	1228	39
969	1228	38
970	1229	36
971	1230	35
972	1231	34
973	1231	32
974	1232	31
975	1234	30
976	1235	29
977	1236	27
978	1237	26
979	1237	25
